,Total Money,Total Chips,Total Capabilities Growth Rate,GDP
0,50000000000000000091330,9223.0,0.0,"{'US': 150, 'Taiwan': 150, 'China': 150, 'EU': 150, 'Japan': 150, 'SKorea': 150, 'Germany': 150}"
1,5.1e+22,9420.8999999,38491.856,"{'US': 90.0, 'Taiwan': 100.0, 'China': 120, 'EU': 94.8, 'Japan': 319.8999999, 'SKorea': 120, 'Germany': 90.0}"
2,5.1e+22,9603.99999900999,1.0000000000000003e+21,"{'US': 52.0, 'Taiwan': 70.0, 'China': 86.0, 'EU': 74.8, 'Japan': 441.83999900999, 'SKorea': 90, 'Germany': 58.0}"
3,5.1e+22,9764.999181899999,2.0000000000000003e+21,"{'US': 32.0, 'Taiwan': 60.0, 'China': 66.0, 'EU': 69.8, 'Japan': 593.8391819, 'SKorea': 90, 'Germany': 48.0}"
4,5.4e+22,9902.5099271,3.9000000000000005e+21,"{'US': 12.0, 'Taiwan': 65.0, 'China': 66.0, 'EU': 64.8, 'Japan': 712.3499270999996, 'SKorea': 75, 'Germany': 28.0}"
5,5.5e+22,10040.01343243827,6.9e+21,"{'US': -8.0, 'Taiwan': 45.0, 'China': 76.0, 'EU': 74.8, 'Japan': 840.8534324382708, 'SKorea': 60, 'Germany': 18.0}"
6,5.6e+22,10039.02,1.1699000000000001e+22,"{'US': -28.0, 'Taiwan': 55.0, 'China': 71.0, 'EU': 74.8, 'Japan': 840.8599999999993, 'SKorea': 60, 'Germany': -2.0}"
7,6.061e+22,10251.77737998819,1.7290388e+22,"{'US': -48.0, 'Taiwan': 55.0, 'China': 81.0, 'EU': 74.8, 'Japan': 1054.6173799881901, 'SKorea': 41, 'Germany': -2.0}"
8,6.551e+22,10356.586804802037,2.5881901e+22,"{'US': -48.0, 'Taiwan': 55.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1134.4268048020367, 'SKorea': 22, 'Germany': -2.0}"
9,6.9949e+22,10441.298087579951,3.7232114e+22,"{'US': -92.0, 'Taiwan': 55.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1220.1380875799514, 'SKorea': 3, 'Germany': -2.0}"
10,6.9048999999999996e+22,10518.600503546124,5.012196123e+22,"{'US': -117.0, 'Taiwan': 55.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1298.4405035461234, 'SKorea': 3, 'Germany': -2.0}"
11,7.0049e+22,10588.378807122637,6.2479697172000005e+22,"{'US': -142.0, 'Taiwan': 55.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1368.2188071226383, 'SKorea': 3, 'Germany': -2.0}"
12,7.855899999999998e+22,10651.134650826078,7.6127385046e+22,"{'US': -142.0, 'Taiwan': 55.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1430.9746508260775, 'SKorea': 3, 'Germany': -2.0}"
13,7.939609999999999e+22,10707.626828685608,9.292907292e+22,"{'US': -142.0, 'Taiwan': 31.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1468.466828685608, 'SKorea': 3, 'Germany': -2.0}"
14,8.039609999999998e+22,10758.464100063462,1.11117910794e+23,"{'US': -142.0, 'Taiwan': 31.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1519.304100063463, 'SKorea': 3, 'Germany': -2.0}"
15,8.32961e+22,10803.988739118227,1.31101766668e+23,"{'US': -142.0, 'Taiwan': 31.0, 'China': 66.0, 'EU': 74.8, 'Japan': 1564.828739118227, 'SKorea': 3, 'Germany': -2.0}"
16,8.618550950999999e+22,10843.131159776567,1.52771053538e+23,"{'US': -160.0, 'Taiwan': 31.0, 'China': 66.0, 'EU': 54.8, 'Japan': 1603.9711597765668, 'SKorea': -17, 'Germany': -2.0}"
17,8.868770571999998e+22,10882.437650502532,1.761077261821e+23,"{'US': -160.0, 'Taiwan': 31.0, 'China': 66.0, 'EU': 54.8, 'Japan': 1643.277650502533, 'SKorea': -37, 'Germany': -2.0}"
18,8.868041571999999e+22,10915.643940911821,2.01072438333e+23,"{'US': -160.0, 'Taiwan': 31.0, 'China': 42.0, 'EU': 54.8, 'Japan': 1676.48394091182, 'SKorea': -37, 'Germany': -2.0}"
19,9.234680881999999e+22,10944.328708611467,2.2735350900920003e+23,"{'US': -160.0, 'Taiwan': 31.0, 'China': 18.0, 'EU': 54.8, 'Japan': 1705.168708611467, 'SKorea': -37, 'Germany': -2.0}"
20,9.326580881999999e+22,10971.49582559252,2.5504807417652e+23,"{'US': -160.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 54.8, 'Japan': 1732.3358255925198, 'SKorea': -37, 'Germany': -2.0}"
21,9.61572305231e+22,10997.162021734408,2.8431843119493904e+23,"{'US': -180.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 29.799999999999997, 'Japan': 1758.0020217344074, 'SKorea': -37, 'Germany': -2.0}"
22,1.018572305231e+23,11019.034877663269,3.1626249842253506e+23,"{'US': -200.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 29.799999999999997, 'Japan': 1779.874877663269, 'SKorea': -37, 'Germany': -2.0}"
23,1.057572305231e+23,11037.657989614545,3.514848658823151e+23,"{'US': -200.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 29.799999999999997, 'Japan': 1798.4979896145455, 'SKorea': -37, 'Germany': -2.0}"
24,1.067572305231e+23,11056.466227463705,3.886835670977966e+23,"{'US': -227.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 29.799999999999997, 'Japan': 1817.3062274637039, 'SKorea': -37, 'Germany': -2.0}"
25,1.096572305231e+23,11063.646093723171,4.270403273356184e+23,"{'US': -227.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': 29.799999999999997, 'Japan': 1824.4860937231722, 'SKorea': -37, 'Germany': -2.0}"
26,1.1165723052309998e+23,11086.778361495974,4.652555883735787e+23,"{'US': -227.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -0.20000000000000284, 'Japan': 1847.6183614959723, 'SKorea': -37, 'Germany': -2.0}"
27,1.1365723052309998e+23,11099.635914528919,5.035180526692474e+23,"{'US': -252.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -0.20000000000000284, 'Japan': 1839.4759145289186, 'SKorea': -37, 'Germany': -2.0}"
28,1.1765723052309999e+23,11121.330472754873,5.437907300737635e+23,"{'US': -277.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -0.20000000000000284, 'Japan': 1830.1704727548731, 'SKorea': -37, 'Germany': -2.0}"
29,1.17324931093e+23,11131.792192526409,5.869190981577892e+23,"{'US': -331.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -0.20000000000000284, 'Japan': 1840.632192526409, 'SKorea': -37, 'Germany': -2.0}"
30,1.2212493109299999e+23,11136.507550042192,6.317501637252722e+23,"{'US': -357.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -0.20000000000000284, 'Japan': 1845.3475500421907, 'SKorea': -37, 'Germany': -2.0}"
31,1.24124931093e+23,11149.695872289069,6.769935933346162e+23,"{'US': -357.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -45.2, 'Japan': 1858.5358722890687, 'SKorea': -37, 'Germany': -2.0}"
32,1.284705219330429e+23,11157.326319740792,7.242397601696473e+23,"{'US': -381.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -90.2, 'Japan': 1866.166319740792, 'SKorea': -37, 'Germany': -2.0}"
33,1.3047052193304288e+23,11164.193656894462,7.741345627062696e+23,"{'US': -381.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -111.2, 'Japan': 1873.0336568944615, 'SKorea': -37, 'Germany': -2.0}"
34,1.3237052193304289e+23,11170.343418956569,8.259229051042237e+23,"{'US': -381.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -111.2, 'Japan': 1879.1834189565684, 'SKorea': -37, 'Germany': -2.0}"
35,1.3310135939466186e+23,11175.658761507906,8.805984419418331e+23,"{'US': -381.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -111.2, 'Japan': 1865.4987615079062, 'SKorea': -37, 'Germany': -2.0}"
36,1.3310135939466191e+23,11180.943175853507,9.358800189999599e+23,"{'US': -401.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -111.2, 'Japan': 1851.7831758535062, 'SKorea': -57, 'Germany': -2.0}"
37,1.3636451582381404e+23,11185.448880814603,9.937804698110368e+23,"{'US': -401.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -111.2, 'Japan': 1856.2888808146029, 'SKorea': -57, 'Germany': -2.0}"
38,1.4036451582381402e+23,11199.483717175579,1.0531481204375101e+24,"{'US': -401.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -129.2, 'Japan': 1860.3237171755798, 'SKorea': -57, 'Germany': -2.0}"
39,1.4402226953927114e+23,11203.153591456195,1.1151531018771853e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -6.0, 'EU': -129.2, 'Japan': 1863.993591456195, 'SKorea': -57, 'Germany': -2.0}"
40,1.4492226953927115e+23,11206.436591796639,1.1800282226363835e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -31.0, 'EU': -129.2, 'Japan': 1867.2765917966383, 'SKorea': -57, 'Germany': -2.0}"
41,1.4692226953927118e+23,11209.39441055746,1.2451283339792527e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1870.2344105574596, 'SKorea': -57, 'Germany': -2.0}"
42,1.5082226953927115e+23,11212.05363802513,1.3126911560616118e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1872.89363802513, 'SKorea': -57, 'Germany': -2.0}"
43,1.545322695392712e+23,11214.449351748983,1.3832416496416402e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1875.289351748983, 'SKorea': -57, 'Germany': -2.0}"
44,1.5853226953927118e+23,11216.604525295417,1.4556335015532477e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1877.4445252954174, 'SKorea': -57, 'Germany': -2.0}"
45,1.6604226953927115e+23,11218.447095490747,1.5334576651852551e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1879.2870954907467, 'SKorea': -57, 'Germany': -2.0}"
46,1.6657778464064497e+23,11220.289664703761,1.613626941356972e+24,"{'US': -421.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1855.129664703761, 'SKorea': -57, 'Germany': -2.0}"
47,1.6934841597755715e+23,11221.782147346798,1.695503703953822e+24,"{'US': -442.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1808.6221473467974, 'SKorea': -57, 'Germany': -2.0}"
48,1.7495841597755713e+23,11233.274628410047,1.7793141500757394e+24,"{'US': -463.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1762.1146284100464, 'SKorea': -57, 'Germany': -2.0}"
49,1.7495841597755713e+23,11234.477176666102,1.8657828622720926e+24,"{'US': -463.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1741.317176666101, 'SKorea': -57, 'Germany': -2.0}"
50,1.7885841597755714e+23,11235.692449012136,1.9545228206791718e+24,"{'US': -463.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1742.5324490121366, 'SKorea': -57, 'Germany': -2.0}"
51,1.8041980648645873e+23,11236.723204523747,2.0465486823696392e+24,"{'US': -463.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1743.5632045237464, 'SKorea': -57, 'Germany': -2.0}"
52,1.8392917969331306e+23,11237.604495548876,2.1404066042284628e+24,"{'US': -463.0, 'Taiwan': 31.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1744.4444955488761, 'SKorea': -57, 'Germany': -2.0}"
53,1.8482917969331304e+23,11238.068339914182,2.2351540123950866e+24,"{'US': -463.0, 'Taiwan': 7.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1744.9083399141823, 'SKorea': -57, 'Germany': -2.0}"
54,1.8972917969331304e+23,11239.237212412052,2.3319448152975425e+24,"{'US': -479.0, 'Taiwan': -17.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1746.077212412052, 'SKorea': -57, 'Germany': -2.0}"
55,1.9072917969331303e+23,11239.913156416433,2.4299977132856554e+24,"{'US': -495.0, 'Taiwan': -41.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1746.7531564164326, 'SKorea': -57, 'Germany': -2.0}"
56,1.9443917969331304e+23,11240.491712572839,2.5316297505570817e+24,"{'US': -514.0, 'Taiwan': -65.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1747.3317125728395, 'SKorea': -57, 'Germany': -2.0}"
57,1.9410671769895773e+23,11241.042538576652,2.6341777556301354e+24,"{'US': -553.0, 'Taiwan': -89.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1747.882538576652, 'SKorea': -57, 'Germany': -2.0}"
58,1.9559218076299606e+23,11241.562937259918,2.739208174975469e+24,"{'US': -572.0, 'Taiwan': -113.0, 'China': -56.0, 'EU': -129.2, 'Japan': 1748.402937259917, 'SKorea': -57, 'Germany': -2.0}"
59,1.9930218076299608e+23,11242.006643777722,2.844975870718054e+24,"{'US': -591.0, 'Taiwan': -137.0, 'China': -56.0, 'EU': -152.2, 'Japan': 1748.846643777722, 'SKorea': -83, 'Germany': -2.0}"
60,2.0111218076299606e+23,11242.206311589049,2.9536969481125086e+24,"{'US': -591.0, 'Taiwan': -161.0, 'China': -56.0, 'EU': -152.2, 'Japan': 1749.0463115890475, 'SKorea': -109, 'Germany': -2.0}"
61,2.0511218076299605e+23,11242.765381460096,3.064050961471561e+24,"{'US': -615.0, 'Taiwan': -185.0, 'China': -56.0, 'EU': -152.2, 'Japan': 1749.6053814600962, 'SKorea': -109, 'Germany': -2.0}"
